time: ,Title,Quarter 1,Quarter 2,Quarter 3,Quarter 4
2025-12-05 18:57:09.669513,13. Quỹ phát triển khoa học và công nghệ,,,,
2025-12-05 18:57:09.669513,D.VỐN CHỦ SỞ HỮU,"325,268,884,391",,"328,615,607,351","331,310,864,231"
2025-12-05 18:57:09.669513,1. Vốn góp của chủ sở hữu,"131,040,000,000",,"131,040,000,000","131,040,000,000"
2025-12-05 18:57:09.669513,- Cổ phiếu phổ thông có quyền biểu quyết,"131,040,000,000",,"131,040,000,000","131,040,000,000"
2025-12-05 18:57:09.669513,- Cổ phiếu ưu đãi,,,,
2025-12-05 18:57:09.669513,2. Thặng dư vốn cổ phần,"53,070,783,332",,"53,070,783,332","53,070,783,332"
2025-12-05 18:57:09.669513,3. Quyền chọn chuyển đổi trái phiếu,,,,
2025-12-05 18:57:09.669513,4. Vốn khác của chủ sở hữu,,,,
2025-12-05 18:57:09.669513,5. Cổ phiếu quỹ,,,,
2025-12-05 18:57:09.669513,6. Chênh lệch đánh giá lại tài sản,,,,
2025-12-05 18:57:09.669513,7. Chênh lệch tỷ giá hối đoái,,,,
2025-12-05 18:57:09.669513,8. Quỹ đầu tư phát triển,"127,245,045,585",,"127,245,045,585","127,245,045,585"
2025-12-05 18:57:09.669513,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,
2025-12-05 18:57:09.669513,10. Quỹ khác thuộc vốn chủ sở hữu,,,,
2025-12-05 18:57:09.669513,11. Lợi nhuận sau thuế chưa phân phối,"11,961,692,655",,"8,842,844,905","11,540,613,015"
2025-12-05 18:57:09.669513,- LNST chưa phân phối lũy kế đến cuối kỳ trước,"12,086,663,279",,"2,382,067,789","2,382,067,789"
2025-12-05 18:57:09.669513,- LNST chưa phân phối kỳ này,"-124,970,624",,"6,460,777,116","9,158,545,226"
2025-12-05 18:57:09.669513,12. Nguồn vốn đầu tư XDCB,,,,
2025-12-05 18:57:09.669513,13. Lợi ích cổ đông không kiểm soát,"1,951,362,819",,"8,416,933,529","8,414,422,299"
2025-12-05 18:57:09.669513,II. Nguồn kinh phí và quỹ khác,,,,
2025-12-05 18:57:09.669513,1. Nguồn kinh phí,,,,
2025-12-05 18:57:09.669513,2. Nguồn kinh phí đã hình thành TSCĐ,,,,
2025-12-05 18:57:09.669513,TỔNG CỘNG NGUỒN VỐN,"383,170,138,480",,"406,727,699,738","397,098,442,150"
